Time [s];Schweissstrom [A];Schweissspannung [V];Drahtvorschub [m/min];Gasfluss [l/min];Motorstrom [A]
0,0303;0,00;41,25;0,00;0,00;0,00
0,0606;0,00;64,80;0,00;0,00;0,00
0,0909;0,00;76,05;0,00;0,00;0,00
0,1212;0,00;81,45;0,00;0,00;0,00
0,1515;0,00;84,00;0,00;0,00;0,00
0,1818;0,00;85,20;0,00;0,00;0,00
0,2121;0,00;85,80;0,00;0,00;0,00
0,2424;0,00;86,10;0,00;0,00;0,00
0,2727;0,00;86,10;0,00;0,00;0,00
0,3030;0,00;86,10;0,00;0,00;0,00
0,3333;0,00;86,10;0,00;0,00;0,00
0,3636;1,00;86,10;0,00;0,00;0,00
0,3939;0,00;86,10;0,00;0,00;0,00
0,4242;0,00;85,95;0,00;0,00;0,00
0,4545;0,00;85,95;0,00;0,00;0,00
0,4848;0,00;85,95;0,00;0,00;0,00
0,5152;7,00;86,10;0,00;0,00;0,00
0,5455;41,00;81,00;0,00;0,00;0,00
0,5758;38,00;34,05;0,00;0,00;0,00
0,6061;40,00;26,10;0,00;0,00;0,00
0,6364;42,00;22,35;0,00;0,00;0,00
0,6667;44,00;20,70;0,00;0,00;0,00
0,6970;46,00;19,80;0,00;0,00;0,00
0,7273;47,00;19,35;0,00;0,00;0,00
0,7576;48,00;19,20;0,00;0,00;0,00
0,7879;50,00;19,05;0,00;0,00;0,00
0,8182;49,00;19,05;0,00;0,00;0,00
0,8485;52,00;19,05;0,00;0,00;0,00
0,8788;51,00;19,05;0,00;0,00;0,00
0,9091;52,00;19,05;0,00;0,00;0,00
0,9394;53,00;19,05;0,00;0,00;0,00
0,9697;52,00;19,05;0,00;0,00;0,00
1,0000;54,00;18,90;0,00;0,00;0,00
1,0303;56,00;18,90;0,00;0,00;0,00
1,0606;57,00;19,05;0,00;0,00;0,00
1,0909;55,00;19,05;0,00;0,00;0,00
1,1212;55,00;18,90;0,00;0,00;0,00
1,1515;52,00;19,05;0,00;0,00;0,00
1,1818;54,00;19,05;0,00;0,00;0,00
1,2121;54,00;19,05;0,00;0,00;0,00
1,2424;55,00;19,20;0,00;0,00;0,00
1,2727;56,00;19,20;0,00;0,00;0,00
1,3030;55,00;19,20;0,00;0,00;0,00
1,3333;55,00;19,05;0,00;0,00;0,00
1,3636;54,00;19,05;0,00;0,00;0,00
1,3939;54,00;19,05;0,00;0,00;0,00
1,4242;55,00;19,05;0,00;0,00;0,00
1,4545;55,00;19,05;0,00;0,00;0,00
1,4848;55,00;19,05;0,00;0,00;0,00
1,5152;54,00;19,20;0,00;0,00;0,00
1,5455;55,00;19,05;0,00;0,00;0,00
1,5758;56,00;19,20;0,00;0,00;0,00
1,6061;56,00;19,05;0,00;0,00;0,00
1,6364;55,00;19,05;0,00;0,00;0,00
1,6667;55,00;19,05;0,00;0,00;0,00
1,6970;52,00;19,05;0,00;0,00;0,00
1,7273;55,00;19,05;0,00;0,00;0,00
1,7576;54,00;19,05;0,00;0,00;0,00
1,7879;53,00;19,05;0,00;0,00;0,00
1,8182;53,00;19,05;0,00;0,00;0,00
1,8485;53,00;19,05;0,00;0,00;0,00
1,8788;53,00;19,05;0,00;0,00;0,00
1,9091;55,00;19,05;0,00;0,00;0,00
1,9394;53,00;19,05;0,00;0,00;0,00
1,9697;54,00;19,05;0,00;0,00;0,00
2,0000;53,00;19,05;0,00;0,00;0,00
2,0303;54,00;19,05;0,00;0,00;0,00
2,0606;54,00;19,05;0,00;0,00;0,00
2,0909;53,00;19,05;0,00;0,00;0,00
2,1212;53,00;19,05;0,00;0,00;0,00
2,1515;53,00;19,05;0,00;0,00;0,00
2,1818;53,00;19,05;0,00;0,00;0,00
2,2121;53,00;19,05;0,00;0,00;0,00
2,2424;53,00;19,05;0,00;0,00;0,00
2,2727;52,00;19,05;0,00;0,00;0,00
2,3030;52,00;19,05;0,00;0,00;0,00
2,3333;52,00;19,05;0,00;0,00;0,00
2,3636;53,00;19,05;0,00;0,00;0,00
2,3939;51,00;19,05;0,00;0,00;0,00
2,4242;53,00;19,05;0,00;0,00;0,00
2,4545;52,00;19,20;0,00;0,00;0,00
2,4848;53,00;19,20;0,00;0,00;0,00
2,5152;54,00;19,05;0,00;0,00;0,00
2,5455;52,00;19,05;0,00;0,00;0,00
2,5758;51,00;19,05;0,00;0,00;0,00
2,6061;52,00;19,05;0,00;0,00;0,00
2,6364;51,00;19,05;0,00;0,00;0,00
2,6667;51,00;19,05;0,00;0,00;0,00
2,6970;53,00;19,05;0,00;0,00;0,00
2,7273;52,00;19,20;0,00;0,00;0,00
2,7576;52,00;19,05;0,00;0,00;0,00
2,7879;52,00;19,05;0,00;0,00;0,00
2,8182;50,00;19,05;0,00;0,00;0,00
2,8485;51,00;19,05;0,00;0,00;0,00
2,8788;52,00;19,05;0,00;0,00;0,00
2,9091;52,00;19,05;0,00;0,00;0,00
2,9394;52,00;19,05;0,00;0,00;0,00
2,9697;53,00;19,05;0,00;0,00;0,00
3,0000;52,00;19,05;0,00;0,00;0,00
3,0303;53,00;19,05;0,00;0,00;0,00
3,0606;52,00;19,05;0,00;0,00;0,00
3,0909;52,00;19,05;0,00;0,00;0,00
3,1212;53,00;19,05;0,00;0,00;0,00
3,1515;53,00;19,05;0,00;0,00;0,00
3,1818;53,00;19,05;0,00;0,00;0,00
3,2121;52,00;19,05;0,00;0,00;0,00
3,2424;53,00;19,05;0,00;0,00;0,00
3,2727;53,00;19,05;0,00;0,00;0,00
3,3030;53,00;19,05;0,00;0,00;0,00
3,3333;51,00;19,05;0,00;0,00;0,00
3,3636;51,00;19,05;0,00;0,00;0,00
3,3939;53,00;19,05;0,00;0,00;0,00
3,4242;51,00;19,05;0,00;0,00;0,00
3,4545;51,00;19,05;0,00;0,00;0,00
3,4848;51,00;19,05;0,00;0,00;0,00
3,5152;52,00;19,05;0,00;0,00;0,00
3,5455;52,00;18,90;0,00;0,00;0,00
3,5758;52,00;19,20;0,00;0,00;0,00
3,6061;51,00;19,05;0,00;0,00;0,00
3,6364;54,00;19,05;0,00;0,00;0,00
3,6667;53,00;19,05;0,00;0,00;0,00
3,6970;52,00;19,05;0,00;0,00;0,00
3,7273;55,00;19,05;0,00;0,00;0,00
3,7576;51,00;19,05;0,00;0,00;0,00
3,7879;51,00;19,05;0,00;0,00;0,00
3,8182;53,00;19,05;0,00;0,00;0,00
3,8485;51,00;19,05;0,00;0,00;0,00
3,8788;51,00;19,05;0,00;0,00;0,00
3,9091;52,00;19,05;0,00;0,00;0,00
3,9394;52,00;19,05;0,00;0,00;0,00
3,9697;50,00;19,05;0,00;0,00;0,00
4,0000;53,00;18,90;0,00;0,00;0,00
4,0303;53,00;19,05;0,00;0,00;0,00
4,0606;51,00;19,05;0,00;0,00;0,00
4,0909;52,00;19,05;0,00;0,00;0,00
4,1212;52,00;19,05;0,00;0,00;0,00
4,1515;51,00;19,05;0,00;0,00;0,00
4,1818;52,00;19,05;0,00;0,00;0,00
4,2121;53,00;19,05;0,00;0,00;0,00
4,2424;52,00;19,05;0,00;0,00;0,00
4,2727;52,00;18,90;0,00;0,00;0,00
4,3030;52,00;19,05;0,00;0,00;0,00
4,3333;52,00;19,05;0,00;0,00;0,00
4,3636;52,00;19,20;0,00;0,00;0,00
4,3939;53,00;19,05;0,00;0,00;0,00
4,4242;53,00;19,05;0,00;0,00;0,00
4,4545;54,00;19,05;0,00;0,00;0,00
4,4848;53,00;19,05;0,00;0,00;0,00
4,5152;52,00;19,05;0,00;0,00;0,00
4,5455;50,00;19,05;0,00;0,00;0,00
4,5758;53,00;19,05;0,00;0,00;0,00
4,6061;52,00;19,05;0,00;0,00;0,00
4,6364;51,00;19,05;0,00;0,00;0,00
4,6667;51,00;19,05;0,00;0,00;0,00
4,6970;53,00;19,05;0,00;0,00;0,00
4,7273;52,00;19,05;0,00;0,00;0,00
4,7576;52,00;19,05;0,00;0,00;0,00
4,7879;52,00;19,05;0,00;0,00;0,00
4,8182;52,00;19,05;0,00;0,00;0,00
4,8485;52,00;19,05;0,00;0,00;0,00
4,8788;50,00;19,05;0,00;0,00;0,00
4,9091;52,00;19,05;0,00;0,00;0,00
4,9394;53,00;19,05;0,00;0,00;0,00
4,9697;52,00;19,05;0,00;0,00;0,00
5,0000;52,00;19,05;0,00;0,00;0,00
5,0303;55,00;19,20;0,00;0,00;0,00
5,0606;54,00;19,05;0,00;0,00;0,00
5,0909;54,00;19,05;0,00;0,00;0,00
5,1212;55,00;19,05;0,00;0,00;0,00
5,1515;54,00;19,05;0,00;0,00;0,00
5,1818;53,00;19,05;0,00;0,00;0,00
