Pyrometer1,Pyrometer2,Voltage,Current,Acoustic Noise
20.42486,20.60646,36.1769,254.4714,-0.02127335
20.42486,20.71328,36.12196,253.6859,-0.00969051
20.37144,20.65987,35.9602,253.6859,-0.00781345
20.37144,20.71328,36.33866,253.6859,-0.00727933
20.20968,20.74075,36.60725,252.4965,-0.00296057
20.10286,20.49811,36.1769,253.2819,-0.00485289
20.07539,20.47216,36.33866,254.4714,-0.00727933
20.20968,20.39128,36.1769,252.878,-0.00404407
20.23715,20.33787,36.33866,253.2819,-0.00753876
20.29056,20.63393,35.63973,252.878,-0.0088817
20.39739,20.68734,36.01514,252.878,-0.00323526
20.42486,20.71328,35.9602,252.878,-0.0045782
20.42486,20.65987,36.33866,252.0925,0.0
20.34398,20.71328,36.22879,253.2819,0.00511232
20.26309,20.60646,36.01514,253.2819,0.00994995
20.15627,20.52558,36.49738,252.4965,0.02017458
20.04944,20.52558,35.63973,252.878,0.02717922
20.1288,20.49811,35.52985,251.711,0.03471798
20.18374,20.52558,33.16445,252.878,0.0387468
20.23715,20.57899,34.02515,253.6859,0.04279087
20.37144,20.60646,33.11256,252.878,0.048712
20.47827,20.63393,32.57539,252.0925,0.04601087
20.37144,20.4447,31.98327,251.711,0.0473538
20.34398,20.60646,31.82151,253.2819,0.05086375
20.29056,20.55305,32.89586,253.2819,0.04654499
20.15627,20.47216,32.52045,253.6859,0.04950555
20.07539,20.47216,33.38115,254.0674,0.05327494
20.1288,20.49811,32.41363,253.6859,0.048712
20.15627,20.55305,32.78904,253.2819,0.05597607
20.26309,20.57899,33.05762,253.2819,0.05112318
20.34398,20.63393,32.46551,253.2819,0.04494262
20.47827,20.65987,32.57539,253.2819,0.04547674
20.42486,20.63393,32.14503,253.6859,0.03525211
20.37144,20.65987,32.84398,253.6859,0.03013979
20.29056,20.4447,31.71469,253.6859,0.01936577
20.31803,20.41875,31.82151,252.878,0.01103345
20.26309,20.47216,32.84398,253.2819,0.00807289
19.99451,20.20358,31.76657,253.6859,-0.00404407
20.37144,20.49811,32.30375,253.6859,-0.00672995
20.29056,20.65987,31.49799,253.6859,-0.01158283
20.37144,20.71328,32.0901,254.8529,-0.00862227
20.50574,20.74075,31.76657,252.878,-0.00996521
20.47827,20.65987,31.28434,254.0674,-0.00808815
20.42486,20.63393,32.35868,254.0674,0.00160237
20.34398,20.60646,31.82151,254.4714,-0.00189232
20.20968,20.52558,31.92834,252.878,0.00914113
20.07539,20.55305,31.55292,254.0674,0.01237639
20.04944,20.55305,31.76657,254.4714,0.00456294
20.18374,20.60646,32.46551,254.8529,0.00645526
20.23715,20.65987,32.0901,254.0674,0.00294531
20.37144,20.68734,31.33622,254.0674,-0.00404407
20.4508,20.63393,31.98327,253.2819,-0.00753876
20.4508,20.63393,31.92834,253.6859,-0.0188469
20.31803,20.65987,31.87645,253.6859,-0.0234251
20.31803,20.52558,32.35868,254.4714,-0.03015505
20.18374,20.49811,32.41363,253.6859,-0.03177268
20.04944,20.49811,32.62727,253.6859,-0.02960566
20.04944,20.47216,32.14503,254.4714,-0.02638567
20.18374,20.57899,31.39116,253.2819,-0.02423391
20.23715,20.65987,29.93835,254.8529,-0.00943108
20.31803,20.63393,31.92834,254.0674,0.00025943
20.39739,20.60646,32.03516,255.2568,0.00967525
20.47827,20.60646,31.82151,254.4714,0.02125809
20.37144,20.65987,31.98327,254.0674,0.03067391
20.37144,20.36381,31.87645,254.4714,0.03928092
20.31803,20.52558,31.98327,254.0674,0.04198205
20.23715,20.36381,31.65975,254.4714,0.04628555
20.10286,20.49811,31.65975,254.0674,0.05354962
20.29056,20.60646,32.35868,254.4714,0.05354962
20.34398,20.68734,32.0901,254.8529,0.05678488
20.39739,20.71328,32.0901,254.4714,0.05542669
20.64003,20.60646,30.53046,254.8529,0.0565102
20.66598,20.60646,30.3687,254.0674,0.0530155
20.55915,20.55305,31.98327,254.0674,0.05785313
20.55915,20.52558,31.71469,254.8529,0.0565102
20.4508,20.47216,32.14503,253.6859,0.05516726
20.34398,20.55305,31.65975,254.0674,0.06055427
20.29056,20.57899,31.65975,254.0674,0.06215663
20.34398,20.65987,30.20999,254.0674,0.0618972
20.42486,20.68734,28.65035,255.2568,0.05812782
20.55915,20.65987,30.5854,255.2568,0.0565102
20.69344,20.65987,30.10011,254.8529,0.05489256
20.71939,20.63393,31.01575,254.8529,0.05112318
20.64003,20.57899,30.85399,255.2568,0.04654499
20.53168,20.49811,30.15505,255.2568,0.04709437
20.50574,20.55305,28.70224,254.4714,0.04358442
20.39739,20.49811,27.95141,254.8529,0.04547674
20.26309,20.63393,28.0033,255.6608,0.0384721
20.37144,20.65987,27.78965,255.2568,0.03955561
20.4508,20.68734,27.35929,255.2568,0.03712916
20.53168,20.68734,26.60542,256.0423,0.0309486
20.61256,20.60646,26.01636,256.8278,0.02824747
20.74685,20.57899,25.15566,257.6133,0.01829752
20.69344,20.28446,24.50861,257.6133,0.01344463
20.66598,20.57899,23.91954,257.2318,0.00402881
