Pyrometer1,Pyrometer2,Voltage,Current,Acoustic Noise
20.37144,20.47216,19.99451,286.025,-0.04468319
20.4508,20.47216,20.04639,287.2144,-0.03526737
20.42486,20.39128,20.10133,286.8329,-0.0266451
20.4508,20.49811,20.31498,286.429,-0.01292577
20.37144,20.52558,20.20815,286.8329,0.00215175
20.20968,20.57899,20.15627,287.6184,0.01129288
20.10286,20.65987,19.88768,287.6184,0.0252869
20.04944,20.63393,20.26309,288.7854,0.03659504
20.23715,20.55305,20.15627,289.1894,0.03821267
20.26309,20.52558,20.26309,287.9999,0.04279087
20.37144,20.4447,20.20815,288.7854,0.04332499
20.47827,20.47216,20.42486,289.1894,0.0384721
20.4508,20.4447,20.15627,289.1894,0.04143267
20.39739,20.4447,20.31498,290.3788,0.0309486
20.37144,20.52558,15.10194,289.9748,0.03525211
20.18374,20.55305,18.22122,290.3788,0.02905628
20.04944,20.63393,17.73593,291.1642,0.03363448
20.07539,20.39128,18.00452,291.1642,0.04036442
20.18374,20.65987,17.57417,291.5682,0.04654499
20.26309,20.55305,17.89769,292.7352,0.05435844
20.23715,20.04181,17.36052,291.9497,0.06055427
20.53168,20.3104,17.79087,291.5682,0.06377427
20.39739,20.47216,17.89769,293.5207,0.06943597
20.37144,20.4447,17.84275,292.3537,0.06404895
20.34398,20.60646,17.4124,293.1392,0.06377427
20.18374,20.65987,17.52228,294.3286,0.051932
20.1288,20.63393,17.57417,294.3286,0.04762849
20.07539,20.60646,17.84275,294.7101,0.03551154
20.1288,20.60646,17.79087,294.3286,0.02340984
20.18374,20.52558,17.84275,294.3286,0.01344463
20.29056,20.47216,18.05945,293.9247,0.00294531
20.42486,20.52558,18.43487,295.1141,-0.00808815
20.4508,20.49811,19.18874,294.3286,-0.01426871
20.34398,20.55305,19.77781,295.1141,-0.02127335
20.37144,20.60646,19.88768,295.8995,-0.02826273
20.23715,20.63393,20.74533,295.4956,-0.03580149
20.15627,20.63393,21.28556,295.1141,-0.03957087
20.07539,20.60646,22.52167,296.3035,-0.04764375
20.15627,20.57899,23.48919,295.1141,-0.05141313
20.23715,20.47216,23.91954,295.1141,-0.05760896
20.29056,20.49811,23.86461,294.7101,-0.0586772
20.42486,20.49811,25.31742,294.7101,-0.05814308
20.53168,20.52558,27.41424,294.7101,-0.05464839
20.39739,20.57899,26.76718,295.4956,-0.05113845
20.37144,20.57899,27.78965,294.7101,-0.04387438
20.34398,20.63393,28.32682,294.3286,-0.03096386
20.18374,20.49811,27.41424,294.3286,-0.02127335
20.10286,20.74075,27.46612,293.5207,-0.00781345
20.02197,20.55305,27.57294,293.9247,0.00456294
20.20968,20.17611,27.52106,293.1392,0.01371933
20.39739,20.55305,27.52106,293.9247,0.0252869
20.37144,20.47216,27.73471,293.5207,0.0341686
20.4508,20.52558,27.84153,294.3286,0.04036442
20.37144,20.55305,28.0033,292.3537,0.04709437
20.37144,20.63393,28.32682,291.9497,0.04709437
20.23715,20.60646,28.27188,292.3537,0.04681968
20.15627,20.63393,28.70224,291.9497,0.04466793
19.99451,20.60646,28.70224,292.7352,0.0398303
20.10286,20.52558,28.75717,291.9497,0.04117324
20.15627,20.47216,28.70224,293.5207,0.03821267
20.26309,20.4447,29.0807,291.9497,0.03497741
20.34398,20.47216,29.13258,291.5682,0.03606092
20.4508,20.52558,29.13258,291.5682,0.03282566
20.39739,20.57899,29.18752,291.5682,0.03390917
20.34398,20.65987,29.34929,291.5682,0.03335978
20.26309,20.63393,29.51105,290.7603,0.03201685
20.18374,20.65987,29.66976,291.1642,0.02662984
20.07539,20.60646,29.83152,291.1642,0.0207087
20.15627,20.55305,29.88646,291.5682,0.01721402
20.15627,20.49811,29.93835,289.9748,0.00779819
20.23715,20.49811,29.93835,290.7603,0.00294531
20.29056,20.52558,30.10011,289.9748,-0.00376938
20.55915,20.55305,30.15505,290.7603,-0.00700464
20.4508,20.65987,30.26187,289.1894,-0.01669515
20.34398,20.74075,30.10011,290.3788,-0.01938103
20.29056,20.71328,30.31681,289.5933,-0.02745391
20.20968,20.82163,29.99328,289.9748,-0.02960566
20.10286,20.52558,30.04822,291.1642,-0.03580149
20.18374,20.39128,30.04822,289.9748,-0.03769381
20.26309,20.95593,29.93835,289.5933,-0.03741912
20.34398,20.33787,30.15505,288.4039,-0.04091381
20.29056,20.47216,30.10011,289.1894,-0.04225674
20.50574,20.52558,30.15505,288.7854,-0.04334025
20.42486,20.57899,30.15505,288.7854,-0.04414906
20.39739,20.65987,30.10011,288.7854,-0.04495788
20.29056,20.60646,30.15505,288.4039,-0.04037968
20.15627,20.57899,30.20999,288.4039,-0.04414906
20.07539,20.52558,30.20999,288.7854,-0.03929618
20.04944,20.41875,30.3687,288.7854,-0.03311561
20.1288,20.4447,30.42364,288.7854,-0.03177268
20.18374,20.4447,31.28434,287.9999,-0.02745391
20.31803,20.4447,32.52045,288.7854,-0.02046453
20.42486,20.52558,33.27433,286.8329,-0.01803809
20.42486,20.65987,26.82212,287.6184,-0.00943108
20.34398,20.57899,28.0033,288.7854,-0.00619583
20.34398,20.60646,28.0033,288.7854,-0.00161763
20.23715,20.57899,27.95141,288.4039,0.00456294
20.07539,20.49811,27.73471,288.4039,0.00564644
20.07539,20.47216,27.95141,288.4039,0.00914113
20.18374,20.49811,27.46612,288.4039,0.01263582
20.20968,20.4447,27.78965,288.4039,0.00833232
20.29056,20.4447,27.1426,288.4039,0.01425345
20.4508,20.55305,26.7153,288.4039,0.0131852
20.47827,20.63393,27.1426,289.5933,0.01103345
20.37144,20.4447,27.46612,289.1894,0.01587108
20.37144,20.65987,28.81211,287.9999,0.01182701
20.20968,20.4447,29.34929,289.1894,0.01452814
20.02197,20.25699,28.81211,288.4039,0.01667989
20.02197,20.3104,29.88646,287.9999,0.01587108
20.15627,20.33787,30.15505,289.1894,0.01533695
20.23715,20.36381,29.0807,288.4039,0.01425345
20.39739,20.33787,31.06763,289.1894,0.01156757
20.53168,20.41875,31.98327,287.9999,0.00860701
20.53168,20.41875,30.47857,287.9999,0.00268588
20.50574,20.4447,31.82151,287.2144,-0.0045782
20.42486,20.36381,33.11256,286.8329,-0.01345989
20.37144,20.3104,31.92834,286.429,-0.02153278
20.26309,20.25699,33.00269,287.6184,-0.03337505
20.23715,20.20358,33.8115,285.2395,-0.0411885
20.29056,20.22952,30.26187,286.429,-0.0543737
20.37144,20.20358,33.97326,286.429,-0.06513246
20.47827,20.33787,30.04822,286.025,-0.0764406
20.61256,20.36381,30.53046,285.6435,-0.08370467
20.69344,20.33787,33.16445,285.2395,-0.0931205
20.61256,20.33787,29.0807,286.025,-0.1001251
20.58509,20.3104,30.53046,286.025,-0.1068551
20.47827,20.22952,29.7247,286.429,-0.1114333
20.37144,20.20358,30.53046,285.6435,-0.1108839
20.26309,20.17611,31.28434,285.6435,-0.1087321
20.34398,20.17611,32.03516,285.6435,-0.1041692
20.47827,20.25699,29.23941,286.025,-0.09528751
20.50574,20.28446,29.88646,284.4541,-0.09366988
20.64003,20.25699,31.82151,285.2395,-0.08774875
20.74685,20.49811,30.53046,286.429,-0.08127823
20.69344,20.3104,30.15505,286.025,-0.07859236
20.77433,20.20358,29.88646,285.6435,-0.07051947
20.50574,19.85411,30.79905,285.6435,-0.06945123
20.64003,20.09523,30.79905,286.429,-0.06487303
20.29056,20.20358,29.66976,285.6435,-0.05490782
20.37144,20.20358,32.78904,285.6435,-0.05518252
20.55915,20.3104,29.88646,284.0501,-0.04898669
20.53168,20.3104,29.88646,284.858,-0.04495788
20.64003,20.36381,29.51105,286.025,-0.04387438
20.77433,20.33787,30.63729,286.429,-0.04010499
20.71939,20.33787,30.5854,285.6435,-0.03848736
20.66598,20.25699,31.06763,285.2395,-0.04172262
20.58509,20.20358,31.12257,284.858,-0.03876206
20.50574,20.17611,31.39116,284.858,-0.0411885
20.37144,20.20358,31.28434,284.4541,-0.0444085
20.37144,20.3104,30.10011,285.6435,-0.04334025
20.42486,20.39128,30.5854,285.2395,-0.04359968
20.53168,20.4447,31.06763,283.6686,-0.04521731
20.64003,20.49811,29.93835,284.4541,-0.04387438
20.74685,20.4447,31.87645,283.6686,-0.0444085
20.74685,20.4447,30.74716,284.0501,-0.04521731
20.64003,20.39128,30.10011,285.2395,-0.04468319
20.61256,20.3104,32.19692,284.858,-0.04225674
20.47827,20.3104,31.06763,283.2646,-0.04063912
20.42486,20.41875,29.61787,284.4541,-0.03714443
20.29056,20.41875,32.03516,283.6686,-0.03364974
20.39739,20.47216,32.68221,282.8831,-0.03284092
20.53168,20.52558,31.71469,283.6686,-0.02907154
20.66598,20.55305,30.42364,282.4792,-0.02611098
20.74685,20.60646,32.03516,283.2646,-0.02289098
20.74685,20.47216,30.63729,283.6686,-0.02234159
20.64003,20.4447,31.71469,283.6686,-0.02234159
