id,name,latitude,longitude,distance
D3164,"Cölbe, Kr. Marburg-Biedenkopf",50.8492,8.7746,4386.801904376219
D5524,Wetter/Hessen-Amönau,50.9087,8.6929,12142.185964892516
D0158,Amöneburg-Rüdigheim,50.784,8.9545,13489.788138824972
10537,Neu Ulrichstein / Dannenrod,50.7531,9.0236,19116.78089456151
D1639,Gießen/Wettenberg,50.6017,8.6439,24735.909935758693
D0817,Burgwald-Bottendorf,51.0306,8.8146,24750.863800397492
10532,Giessen,50.5833,8.7,25650.526414484146
10535,Wahlen,50.8167,9.1333,25743.61722846432
D1645,Gilserberg-Moischeid,50.9656,9.05,26328.29426165275
D5490,Eschenburg-Eibelshausen,50.8053,8.3382,30137.664073970638
D0310,Battenberg-Hof Karlsburg,51.0662,8.5375,32711.087898269518
D0389,"Berleburg, Bad-Arfeld",51.0148,8.4318,32723.071488016536
D0211,Aßlar Klein-Altenstädten,50.58,8.4685,33112.83479701742
D0390,"Berleburg, Bad-Stünzel",50.9837,8.3683,33983.75494082514
D0979,Dillenburg,50.7364,8.2672,36089.055418372
D5240,Vöhl-Buchenberg,51.1598,8.874,39605.83172118498
D3413,Münzenberg-Gambach,50.4522,8.7317,39867.84173978613
D3215,Medebach-Berge,51.1683,8.7125,40019.30136696058
D0091,Alsfeld-Eifa,50.7446,9.345,41284.20249071754
D4560,Schotten,50.4925,9.1226,43302.309128387664
D0796,Burbach-Würgendorf,50.7556,8.1257,45493.161295846956
D3527,Neukirchen-Hauptschwenda,50.8923,9.405,45710.283836156064
D1055,Driedorf,50.6316,8.1813,45759.674965588856
10427,Kahler Asten,51.1833,8.4833,46010.01000648589
D3042,Löhnberg-Obershausen,50.5617,8.2386,46351.59609631227
10534,Hoherodskopf-vogelsberg / Breungeshain,50.5086,9.2247,46521.10275587725
10528,Siegerland,50.7167,8.0833,49196.7236991981
10439,Fritzlar,51.1167,9.2833,49698.330147827844
